left_id,right_id,left_title,right_title,similarity,decision
art_000008,art_002881,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk,0.9449,DROP_NEAR_DUP
art_000008,art_002079,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk,0.9219,DROP_NEAR_DUP
art_000010,art_000662,Dragos Launches OT Cyber Industry''s Only Global Partner Program to Span Technol,Dragos Launches OT Cyber Industry’s Only Global Partner Program to Span Technolo,0.9738,DROP_NEAR_DUP
art_000012,art_002043,The best video streaming services in 2023,The best video streaming services in 2023,0.9811,DROP_NEAR_DUP
art_000025,art_001635,New Sensor Chip Detects Disease Pathogens with 10x Sensitivity,New sensor chip advances rapid cost-effective disease diagnostics,0.9228,DROP_NEAR_DUP
art_000032,art_002881,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk,0.9399,ALREADY_DROPPED
art_000033,art_002840,Aeris to Acquire IoT Business from Ericsson,Aeris to acquire IoT business from Ericsson,0.9536,KEEP_EVIDENCE
art_000034,art_002612,Ceinsys Tech Ltd: A specialized GIS & Mobility engineering services provider cel,Ceinsys Tech Ltd: A specialized GIS & Mobility engineering services provider cel,0.9784,DROP_NEAR_DUP
art_000034,art_000059,Ceinsys Tech Ltd: A specialized GIS & Mobility engineering services provider cel,Ceinsys Tech Ltd: A specialized GIS & Mobility engineering services provider cel,0.9391,DROP_NEAR_DUP
art_000043,art_002987,Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech Day 2023,Samsung Showcases Groundbreaking Logic Innovations at System LSI Tech Day 2023,0.9955,KEEP_EVIDENCE
art_000046,art_001070,IAS provides verification solution to Amazon Publisher Services Connections Mark,IAS provides verification solution to Amazon Publisher Services Connections Mark,0.934,DROP_NEAR_DUP
art_000049,art_000254,Information Services Group Inc. (III) Q4 2022 Earnings Call Transcript,Information Services Group Inc. (III) Q2 2023 Earnings Call Transcript,0.9358,DROP_NEAR_DUP
art_000059,art_002612,Ceinsys Tech Ltd: A specialized GIS & Mobility engineering services provider cel,Ceinsys Tech Ltd: A specialized GIS & Mobility engineering services provider cel,0.9387,ALREADY_DROPPED
art_000067,art_000107,Synechron opens Montreal delivery centre,Synechron Announces the Opening of its Montreal Canada Nearshore Delivery Centre,0.9731,DROP_NEAR_DUP
art_000073,art_000268,The Institution of Engineering and Technology (IET) successfully concludes IET F,The Institution of Engineering and Technology (IET) successfully concludes IET F,0.9943,DROP_NEAR_DUP
art_000074,art_001018,L&T Technology Services Selected as Strategic Engineering Partner to Airbus for ,L&T Technology Services Selected as Strategic Engineering Partner to Airbus for ,0.9814,DROP_NEAR_DUP
art_000103,art_000264,Crexendo Inc.: Crexendo Adds Jenne Inc. as New Technology Services Brokerage Par,Crexendo Adds Jenne Inc. as New Technology Services Brokerage Partner,0.9895,DROP_NEAR_DUP
art_000122,art_000303,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private ,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private ,0.9889,KEEP_EVIDENCE
art_000122,art_000307,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private ,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private ,0.9704,KEEP_EVIDENCE
art_000125,art_001439,Sensormatic Solutions by Johnson Controls shares 2022 U.S. Super Saturday shoppe,Sensormatic Solutions by Johnson Controls shares 2022 U.S. Super Saturday shoppe,0.9994,DROP_NEAR_DUP
art_000125,art_002723,Sensormatic Solutions by Johnson Controls shares 2022 U.S. Super Saturday shoppe,Sensormatic Solutions by Johnson Controls shares 2022 U.S. Super Saturday shoppe,0.9305,DROP_NEAR_DUP
art_000202,art_002731,Syzygy Plasmonics Selects Emerson to Automate Electrification of Chemical Produc,Syzygy Plasmonics selects Emerson to automate electrification of chemical produc,0.9554,DROP_NEAR_DUP
art_000204,art_000688,Technology Services (CITE),Technology Services (CITE),0.9965,DROP_NEAR_DUP
art_000213,art_000604,Smart Eye Signs Breakthrough Deal for AIS Driver Monitoring System for Fleets wi,Smart Eye Signs Breakthrough Deal for AIS Driver Monitoring System for Fleets wi,0.9844,DROP_NEAR_DUP
art_000215,art_000398,Integrated Electrical Services: Fiscal Q4 Earnings Snapshot,Integrated Electrical Services: Fiscal Q1 Earnings Snapshot,0.9588,DROP_NEAR_DUP
art_000216,art_002881,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk,0.9301,ALREADY_DROPPED
art_000226,art_000960,Systems Solution Inc. Opens New Company Headquarters and Depot Services in Wayne,Systems Solution Inc. Opens New Company Headquarters and Depot Services in Wayne,0.9832,DROP_NEAR_DUP
art_000256,art_001639,DEWA is the first utility in the world to enrich its services with ChatGPT techn,DEWA is the first utility in the world to enrich its services with ChatGPT techn,0.9854,KEEP_EVIDENCE
art_000303,art_000307,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private ,L&T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private ,0.9746,KEEP_EVIDENCE
art_000338,art_002051,Thursday Sector Laggards: Technology & Communications Services,Thursday Sector Laggards: Services Technology & Communications,0.9401,DROP_NEAR_DUP
art_000345,art_002489,Sensient Announces Conference Call,Sensient Announces Conference Call,0.9754,DROP_NEAR_DUP
art_000348,art_002881,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk,0.9487,ALREADY_DROPPED
art_000381,art_000929,Best VoIP Services (September 2023),Best VoIP Services (July 2023),0.9923,DROP_NEAR_DUP
art_000397,art_003042,Top 10 Pros and Cons of Smart Technology,Top 10 Pros and Cons of Smart Technology,0.9565,DROP_NEAR_DUP
art_000400,art_002881,Tech Media & Telecom Roundup: Market Talk,Tech Media & Telecom Roundup: Market Talk,0.9384,ALREADY_DROPPED
